Airline,Date_of_Journey,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_hours,Duration_mins
Airline A,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,13h,1,In-flight meal not included,10972,18,3,18,40,7,40,13,0
Airline A,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,12h 15m,1,No info,14388,5,6,20,0,8,15,12,15
Airline A,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,9h 50m,1,No info,14571,24,5,6,30,16,20,9,50
Airline E,2019-06-21,Kolkata,Banglore,CCU → BLR,2h 25m,0,No info,3873,21,6,9,0,11,25,2,25
Airline A,2019-06-24,Delhi,Cochin,DEL → BOM → COK,7h 30m,1,No info,14714,24,6,11,30,19,0,7,30
Airline B,2019-06-05,Mumbai,Hyderabad,BOM → HYD,1h 30m,0,No info,2754,5,6,12,0,13,30,1,30
Airline A,2019-06-03,Delhi,Cochin,DEL → BOM → COK,9h 50m,1,In-flight meal not included,15400,3,6,9,0,18,50,9,50
Airline A,2019-06-05,Kolkata,Banglore,CCU → DEL → BLR,17h 55m,1,No info,13067,5,6,17,0,10,55,17,55
Airline B,2019-05-18,Kolkata,Banglore,CCU → BLR,2h 30m,0,No info,4804,18,5,15,15,17,45,2,30
Airline A,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,24h 15m,1,In-flight meal not included,11087,3,12,18,55,19,10,24,15
Airline A,2019-01-06,Delhi,Cochin,DEL → BOM → COK,6h 35m,1,No info,14714,6,1,21,50,4,25,6,35
Airline E,2019-06-24,Mumbai,Hyderabad,BOM → HYD,1h 30m,0,No check-in baggage included,1965,24,6,22,45,0,15,1,30
Airline E,2019-04-18,Banglore,Delhi,BLR → DEL,2h 50m,0,No check-in baggage included,5515,18,4,9,30,12,20,2,50
Airline A,2019-06-27,Delhi,Cochin,DEL → JAI → BOM → COK,9h 20m,2,No info,13014,27,6,9,40,19,0,9,20
Airline B,2019-09-03,Banglore,New Delhi,BLR → HYD → DEL,4h 50m,1,No info,5694,3,9,7,30,12,20,4,50
Airline A,2019-01-06,Mumbai,Hyderabad,BOM → HYD,1h 25m,0,No info,5678,6,1,2,55,4,20,1,25
Airline C,2019-09-05,Delhi,Cochin,DEL → HYD → MAA → COK,26h 20m,2,No info,9347,5,9,7,5,9,25,26,20
Airline B,2019-05-21,Delhi,Cochin,DEL → BOM → COK,12h 30m,1,No info,7318,21,5,8,30,21,0,12,30
Airline B,2019-03-18,Kolkata,Banglore,CCU → BLR,2h 40m,0,No info,4462,18,3,20,25,23,5,2,40
Airline D,2019-09-06,Delhi,Cochin,DEL → BOM → COK,8h 40m,1,No info,11789,6,9,10,20,19,0,8,40
Airline A,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,12h 55m,1,No info,13941,18,5,21,10,10,5,12,55
Airline A,2019-06-27,Mumbai,Hyderabad,BOM → HYD,1h 30m,0,No info,8040,27,6,8,45,10,15,1,30
Airline E,2019-06-04,Banglore,Delhi,BLR → DEL,2h 40m,0,No info,4423,4,6,5,55,8,35,2,40
Airline C,2019-01-06,Delhi,Cochin,DEL → TRV → COK,25h 35m,1,No info,7480,6,1,5,15,6,50,25,35
Airline A,2019-12-06,Delhi,Cochin,DEL → NAG → BOM → COK,22h,2,In-flight meal not included,10919,6,12,14,35,12,35,22,0
Airline B,2019-06-15,Delhi,Cochin,DEL → BOM → COK,14h 20m,1,No info,6093,15,6,6,40,21,0,14,20
Airline C,2019-09-05,Kolkata,Banglore,CCU → JAI → BOM → BLR,23h 35m,2,No info,10697,5,9,8,20,7,55,23,35
Airline D,2019-03-27,Delhi,Cochin,DEL → BOM → COK,7h 50m,1,No info,7845,27,3,17,45,1,35,7,50
Airline B,2019-09-04,Delhi,Cochin,DEL → BOM → COK,16h 15m,1,No info,6573,4,9,9,15,1,30,16,15
Airline C,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,22h 30m,1,No info,8366,5,6,9,25,7,55,22,30
Airline B,2019-05-24,Chennai,Kolkata,MAA → CCU,2h 20m,0,No info,3850,24,5,7,55,10,15,2,20
Airline A,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,18h 10m,1,In-flight meal not included,8586,5,1,14,5,8,15,18,10
Airline F,2019-04-15,Banglore,Delhi,BLR → DEL,2h 35m,0,No info,5613,15,4,17,0,19,35,2,35
Airline C,2019-01-04,Kolkata,Banglore,CCU → DEL → COK → TRV → BLR,24h 30m,3,No info,12954,4,1,10,0,10,30,24,30
Airline D,2019-03-27,Delhi,Cochin,DEL → BOM → COK,6h 35m,1,No info,7845,27,3,8,55,15,30,6,35
Airline B,2019-01-05,Banglore,Delhi,BLR → DEL,2h 50m,0,No info,4423,5,1,13,0,15,50,2,50
Airline F,2019-05-24,Banglore,Delhi,BLR → DEL,2h 50m,0,No info,4668,24,5,11,30,14,20,2,50
Airline A,2019-01-06,Delhi,Cochin,DEL → IDR → BOM → COK,27h,2,No info,13292,6,1,9,35,12,35,27,0
Airline B,2019-01-04,Banglore,Delhi,BLR → DEL,2h 45m,0,No info,4423,4,1,1,30,4,15,2,45
Airline A,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,12h 20m,1,In-flight meal not included,10844,24,5,8,25,20,45,12,20
Airline H,2019-09-04,Delhi,Cochin,DEL → AMD → COK,5h 55m,1,No info,4106,4,9,7,25,13,20,5,55
Airline B,2019-01-03,Banglore,New Delhi,BLR → IDR → DEL,4h 55m,1,No info,8707,3,1,13,40,18,35,4,55
Airline E,2019-03-04,Kolkata,Banglore,CCU → BLR,2h 35m,0,No check-in baggage included,3841,4,3,6,55,9,30,2,35
Airline C,2019-09-06,Chennai,Kolkata,MAA → CCU,2h 15m,0,No info,4667,6,9,11,40,13,55,2,15
Airline D,2019-06-03,Delhi,Cochin,DEL → BOM → COK,7h 20m,1,No info,15135,3,6,11,30,18,50,7,20
Airline A,2019-03-27,Mumbai,Hyderabad,BOM → HYD,1h 30m,0,In-flight meal not included,1840,27,3,2,55,4,25,1,30
Airline B,2019-03-27,Delhi,Cochin,DEL → BOM → COK,11h 50m,1,No info,10351,27,3,9,10,21,0,11,50
Airline A,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,7h 55m,1,In-flight meal not included,10844,6,9,8,25,16,20,7,55
Airline B,2019-12-05,Delhi,Cochin,DEL → COK,3h 15m,0,No info,6015,5,12,5,35,8,50,3,15
Airline C,2019-12-06,Delhi,Cochin,DEL → BOM → COK,10h 40m,1,No info,8372,6,12,21,0,7,40,10,40
Airline C,2019-03-27,Delhi,Cochin,DEL → UDR → BOM → COK,18h 20m,2,No info,10178,27,3,13,20,7,40,18,20
Airline B,2019-03-05,Banglore,Delhi,BLR → DEL,2h 55m,0,No info,4823,5,3,7,10,10,5,2,55
Airline C,2019-03-21,Banglore,New Delhi,BLR → VGA → DEL,24h 50m,1,No info,6383,21,3,10,30,11,20,24,50
Airline D,2019-03-06,Delhi,Cochin,DEL → BOM → COK,12h,1,No info,8930,6,3,9,0,21,0,12,0
Airline C,2019-01-03,Banglore,New Delhi,BLR → BOM → IDR → DEL,26h 20m,2,No info,19372,3,1,8,50,11,10,26,20
Airline A,2019-09-05,Delhi,Cochin,DEL → AMD → BOM → COK,23h 10m,2,No info,15129,5,9,13,25,12,35,23,10
Airline A,2019-05-24,Banglore,Delhi,BLR → DEL,3h,0,In-flight meal not included,4030,24,5,8,20,11,20,3,0
Airline H,2019-03-04,Delhi,Cochin,DEL → BOM → COK,5h 55m,1,No info,4725,4,3,7,0,12,55,5,55
Airline B,2019-03-18,Chennai,Kolkata,MAA → CCU,2h 15m,0,No info,3858,18,3,13,20,15,35,2,15
Airline D,2019-01-06,Delhi,Cochin,DEL → BOM → COK,12h 15m,1,No info,7740,6,1,8,45,21,0,12,15
Airline A,2019-06-05,Kolkata,Banglore,CCU → DEL → BLR,26h 10m,1,No info,13067,5,6,17,0,19,10,26,10
Airline E,2019-12-04,Kolkata,Banglore,CCU → BLR,2h 25m,0,No check-in baggage included,3841,4,12,9,0,11,25,2,25
Airline A,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,11h 45m,1,In-flight meal not included,10844,15,5,6,30,18,15,11,45
Airline F,2019-09-05,Banglore,Delhi,BLR → DEL,2h 50m,0,No info,4668,5,9,9,45,12,35,2,50
Airline A,2019-03-27,Mumbai,Hyderabad,BOM → HYD,1h 25m,0,In-flight meal not included,3205,27,3,7,10,8,35,1,25
Airline B,2019-03-03,Delhi,Cochin,DEL → HYD → COK,10h 25m,1,No info,11600,3,3,11,55,22,20,10,25
Airline D,2019-12-06,Delhi,Cochin,DEL → BOM → COK,12h 40m,1,No info,6795,6,12,12,50,1,30,12,40
Airline D,2019-06-03,Delhi,Cochin,DEL → IDR → BOM → COK,10h 30m,2,No info,21483,3,6,15,5,1,35,10,30
Airline C,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,26h 55m,1,No info,10413,6,9,17,30,20,25,26,55
Airline E,2019-05-15,Chennai,Kolkata,MAA → CCU,2h 15m,0,No info,3597,15,5,8,20,10,35,2,15
Airline A,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,12h 35m,1,1 Long layover,31825,3,1,22,50,11,25,12,35
Airline A,2019-09-03,Delhi,Cochin,DEL → BOM → COK,23h 5m,1,In-flight meal not included,14053,3,9,19,45,18,50,23,5
Airline A,2019-09-05,Delhi,Cochin,DEL → BOM → COK,25h 30m,1,In-flight meal not included,12373,5,9,17,30,19,0,25,30
Airline A,2019-06-15,Delhi,Cochin,DEL → BOM → COK,10h 55m,1,In-flight meal not included,10262,15,6,17,30,4,25,10,55
Airline A,2019-03-21,Delhi,Cochin,DEL → AMD → BOM → COK,23h 40m,2,In-flight meal not included,6643,21,3,19,10,18,50,23,40
Airline D,2019-01-06,Delhi,Cochin,DEL → BOM → COK,9h 30m,1,No info,13587,6,1,11,30,21,0,9,30
Airline C,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,25h 40m,1,No info,8576,5,9,16,50,18,30,25,40
Airline A,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,26h 10m,1,In-flight meal not included,10539,6,9,17,0,19,10,26,10
Airline E,2019-05-15,Banglore,Delhi,BLR → DEL,2h 50m,0,No check-in baggage included,4319,15,5,9,30,12,20,2,50
Airline C,2019-03-03,Delhi,Cochin,DEL → MAA → COK,23h 40m,1,No info,24017,3,3,9,45,9,25,23,40
Airline F,2019-03-24,Kolkata,Banglore,CCU → DEL → BLR,13h 15m,1,No info,13152,24,3,7,10,20,25,13,15
Airline E,2019-06-15,Mumbai,Hyderabad,BOM → HYD,1h 30m,0,No check-in baggage included,1965,15,6,22,45,0,15,1,30
Airline A,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,27h 10m,1,No info,14151,18,5,20,25,23,35,27,10
Airline A,2019-09-06,Delhi,Cochin,DEL → IDR → BOM → COK,21h 35m,2,No info,13292,6,9,21,25,19,0,21,35
Airline A,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,21h 25m,1,No info,14781,15,5,18,55,16,20,21,25
Airline B,2019-01-03,Banglore,New Delhi,BLR → DEL,3h,0,No info,10067,3,1,8,30,11,30,3,0
Airline C,2019-09-03,Delhi,Cochin,DEL → BOM → COK,20h 15m,1,No info,11260,3,9,23,0,19,15,20,15
Airline B,2019-01-06,Banglore,Delhi,BLR → DEL,2h 55m,0,No info,4823,6,1,7,10,10,5,2,55
Airline E,2019-01-04,Kolkata,Banglore,CCU → BLR,2h 25m,0,No check-in baggage included,3841,4,1,9,0,11,25,2,25
Airline A,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,5h 45m,1,No info,14781,21,5,14,5,19,50,5,45
Airline D,2019-05-27,Delhi,Cochin,DEL → BOM → COK,10h 40m,1,No info,7005,27,5,10,20,21,0,10,40
Airline A,2019-01-06,Delhi,Cochin,DEL → BOM → COK,25h 30m,1,In-flight meal not included,10262,6,1,17,30,19,0,25,30
Airline A,2019-12-06,Kolkata,Banglore,CCU → DEL → BLR,14h,1,No info,12692,6,12,9,35,23,35,14,0
Airline A,2019-12-06,Delhi,Cochin,DEL → BOM → COK,25h 5m,1,In-flight meal not included,10262,6,12,11,30,12,35,25,5
Airline C,2019-09-06,Delhi,Cochin,DEL → CCU → BOM → COK,23h,2,No info,13381,6,9,20,15,19,15,23,0
Airline D,2019-03-03,Delhi,Cochin,DEL → BOM → COK,7h 30m,1,No info,17057,3,3,8,0,15,30,7,30
Airline A,2019-06-06,Delhi,Cochin,DEL → BOM → COK,6h,1,No info,14714,6,6,13,0,19,0,6,0
Airline E,2019-03-27,Chennai,Kolkata,MAA → CCU,2h 20m,0,No check-in baggage included,3332,27,3,17,45,20,5,2,20
Airline F,2019-03-24,Banglore,New Delhi,BLR → DEL,2h 40m,0,No info,5403,24,3,7,0,9,40,2,40
Airline E,2019-09-06,Kolkata,Banglore,CCU → KNU → BLR,7h 15m,1,No info,8479,6,9,11,35,18,50,7,15
Airline D,2019-03-03,Delhi,Cochin,DEL → BOM → COK,6h 35m,1,No info,16775,3,3,19,0,1,35,6,35
Airline D,2019-06-03,Delhi,Cochin,DEL → BOM → COK,11h 50m,1,No info,15867,3,6,7,0,18,50,11,50
Airline C,2019-09-03,Delhi,Cochin,DEL → BOM → COK,27h 40m,1,No info,10315,3,9,4,0,7,40,27,40
Airline A,2019-01-06,Delhi,Cochin,DEL → BOM → COK,23h 15m,1,No info,14714,6,1,19,45,19,0,23,15
Airline B,2019-01-06,Banglore,Delhi,BLR → DEL,2h 45m,0,No info,4077,6,1,1,30,4,15,2,45
Airline C,2019-01-06,Delhi,Cochin,DEL → HYD → MAA → COK,20h 10m,2,No info,10467,6,1,13,15,9,25,20,10
Airline A,2019-06-06,Delhi,Cochin,DEL → BOM → COK,10h 20m,1,In-flight meal not included,10262,6,6,2,15,12,35,10,20
Airline D,2019-03-27,Delhi,Cochin,DEL → BOM → COK,8h 30m,1,No info,7154,27,3,10,45,19,15,8,30
Airline E,2019-04-21,Banglore,Delhi,BLR → DEL,2h 40m,0,No check-in baggage included,4319,21,4,5,55,8,35,2,40
Airline A,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,6h 35m,1,No info,14151,5,12,17,0,23,35,6,35
Airline A,2019-06-05,Delhi,Cochin,DEL → BOM → COK,5h 35m,1,No info,15554,5,6,22,50,4,25,5,35
Airline F,2019-09-03,Banglore,New Delhi,BLR → AMD → DEL,15h 15m,1,No info,10008,3,9,6,40,21,55,15,15
Airline C,2019-09-05,Delhi,Cochin,DEL → CCU → BOM → COK,23h,2,No info,13591,5,9,20,15,19,15,23,0
Airline D,2019-06-24,Delhi,Cochin,DEL → BOM → COK,10h,1,No info,12927,24,6,9,0,19,0,10,0
Airline D,2019-03-03,Delhi,Cochin,DEL → HYD → COK,9h 5m,1,No info,7905,3,3,7,5,16,10,9,5
Airline C,2019-03-03,Banglore,New Delhi,BLR → DEL,2h 45m,0,No info,7591,3,3,21,10,23,55,2,45
Airline C,2019-12-06,Kolkata,Banglore,CCU → DEL → COK → BLR,20h 15m,2,No info,12224,6,12,17,30,13,45,20,15
Airline A,2019-06-06,Delhi,Cochin,DEL → BOM → COK,16h 55m,1,In-flight meal not included,10262,6,6,11,30,4,25,16,55
Airline A,2019-03-21,Delhi,Cochin,DEL → BOM → COK,26h 50m,1,No info,12557,21,3,16,0,18,50,26,50
Airline A,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,10h 25m,1,In-flight meal not included,9134,15,3,8,0,18,25,10,25
Airline F,2019-01-05,Banglore,Delhi,BLR → DEL,2h 50m,0,No info,4668,5,1,11,30,14,20,2,50
Airline A,2019-01-05,Banglore,Delhi,BLR → DEL,2h 45m,0,In-flight meal not included,4030,5,1,6,0,8,45,2,45
Airline A,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,11h 35m,1,No info,13555,18,3,21,25,9,0,11,35
Airline A,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,9h 50m,1,No info,14571,24,5,8,25,18,15,9,50
Airline B,2019-03-05,Banglore,Delhi,BLR → DEL,2h 55m,0,No info,4823,5,3,18,55,21,50,2,55
Airline C,2019-06-27,Delhi,Cochin,DEL → HYD → MAA → COK,20h 10m,2,No info,8839,27,6,13,15,9,25,20,10
Airline A,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,9h 50m,1,In-flight meal not included,7064,4,1,8,25,18,15,9,50
Airline H,2019-06-04,Banglore,Delhi,BLR → DEL,2h 55m,0,No info,4632,4,6,7,45,10,40,2,55
Airline A,2019-09-06,Delhi,Cochin,DEL → NAG → BOM → COK,22h,2,No info,13376,6,9,14,35,12,35,22,0
Airline E,2019-04-27,Kolkata,Banglore,CCU → BLR,2h 25m,0,No check-in baggage included,3841,27,4,9,0,11,25,2,25
Airline B,2019-05-18,Delhi,Cochin,DEL → BOM → COK,16h 5m,1,No info,6758,18,5,4,55,21,0,16,5
Airline C,2019-06-24,Delhi,Cochin,DEL → TRV → COK,25h 35m,1,No info,6587,24,6,5,15,6,50,25,35
Airline D,2019-03-21,Delhi,Cochin,DEL → BOM → COK,10h 5m,1,No info,8601,21,3,9,10,19,15,10,5
Airline C,2019-04-21,Delhi,Cochin,DEL → BLR → COK,11h 45m,1,No info,7258,21,4,20,30,8,15,11,45
Airline E,2019-05-24,Chennai,Kolkata,MAA → CCU,2h 15m,0,No info,3597,24,5,9,45,12,0,2,15
Airline A,2019-12-06,Delhi,Cochin,DEL → JAI → BOM → COK,22h 55m,2,No info,13014,6,12,5,30,4,25,22,55
Airline D,2019-03-03,Delhi,Cochin,DEL → BOM → COK,9h 55m,1,No info,15411,3,3,8,55,18,50,9,55
Airline C,2019-05-15,Mumbai,Hyderabad,BOM → HYD,1h 15m,0,No info,3100,15,5,19,30,20,45,1,15
Airline D,2019-05-15,Delhi,Cochin,DEL → BOM → COK,13h,1,No info,9794,15,5,6,0,19,0,13,0
Airline D,2019-06-15,Delhi,Cochin,DEL → BOM → COK,12h 10m,1,No info,16108,15,6,7,5,19,15,12,10
Airline A,2019-06-15,Delhi,Cochin,DEL → BOM → COK,5h,1,No info,14714,15,6,14,0,19,0,5,0
Airline A,2019-06-27,Delhi,Cochin,DEL → ATQ → BOM → COK,18h 15m,2,No info,14300,27,6,18,20,12,35,18,15
Airline D,2019-06-15,Delhi,Cochin,DEL → BOM → COK,7h 50m,1,No info,8614,15,6,11,25,19,15,7,50
Airline H,2019-12-06,Delhi,Cochin,DEL → AMD → COK,6h 10m,1,No info,5842,6,12,7,25,13,35,6,10
Airline B,2019-03-21,Delhi,Cochin,DEL → HYD → COK,6h 10m,1,No info,6528,21,3,16,10,22,20,6,10
Airline H,2019-05-15,Banglore,Delhi,BLR → DEL,2h 55m,0,No info,3419,15,5,7,45,10,40,2,55
Airline B,2019-04-18,Banglore,Delhi,BLR → DEL,2h 50m,0,No info,5740,18,4,8,30,11,20,2,50
Airline A,2019-05-27,Delhi,Cochin,DEL → BOM → COK,5h,1,In-flight meal not included,12898,27,5,14,0,19,0,5,0
Airline G,2019-09-06,Delhi,Cochin,DEL → BLR → COK,10h 25m,1,No info,10794,6,9,20,45,7,10,10,25
Airline C,2019-06-03,Banglore,New Delhi,BLR → MAA → DEL,8h,1,No info,14594,3,6,11,50,19,50,8,0
Airline D,2019-05-15,Delhi,Cochin,DEL → BOM → COK,13h,1,No info,13937,15,5,8,0,21,0,13,0
Airline A,2019-06-05,Kolkata,Banglore,CCU → DEL → BLR,21h 35m,1,In-flight meal not included,9314,5,6,20,25,18,0,21,35
Airline A,2019-06-15,Delhi,Cochin,DEL → BOM → COK,15h 25m,1,In-flight meal not included,10262,15,6,13,0,4,25,15,25
Airline A,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,26h 50m,1,No info,14178,24,5,6,30,9,20,26,50
Airline B,2019-03-04,Banglore,Delhi,BLR → DEL,2h 55m,0,No info,3419,4,3,0,30,3,25,2,55
Airline B,2019-03-03,Banglore,New Delhi,BLR → DEL,2h 50m,0,No info,7648,3,3,22,20,1,10,2,50
Airline A,2019-06-27,Delhi,Cochin,DEL → JAI → BOM → COK,26h 55m,2,In-flight meal not included,11118,27,6,9,40,12,35,26,55
Airline E,2019-03-03,Banglore,New Delhi,BLR → DEL,2h 50m,0,No info,6860,3,3,20,30,23,20,2,50
Airline F,2019-05-15,Banglore,Delhi,BLR → DEL,2h 40m,0,No info,4668,15,5,7,0,9,40,2,40
Airline B,2019-06-15,Delhi,Cochin,DEL → BLR → COK,4h 50m,1,No info,6147,15,6,15,10,20,0,4,50
Airline B,2019-04-24,Banglore,Delhi,BLR → DEL,2h 55m,0,No info,4823,24,4,18,55,21,50,2,55
Airline A,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,9h 35m,1,In-flight meal not included,9314,4,1,9,35,19,10,9,35
Airline E,2019-03-24,Banglore,New Delhi,BLR → DEL,2h 50m,0,No info,5575,24,3,20,30,23,20,2,50
Airline C,2019-09-04,Delhi,Cochin,DEL → COK,3h 50m,0,No info,6724,4,9,14,5,17,55,3,50
Airline A,2019-03-04,Banglore,Delhi,BLR → DEL,3h,0,In-flight meal not included,4544,4,3,8,20,11,20,3,0
Airline D,2019-03-27,Delhi,Cochin,DEL → BOM → COK,6h 15m,1,No info,12537,27,3,7,5,13,20,6,15
Airline B,2019-12-06,Delhi,Cochin,DEL → BOM → COK,16h 15m,1,No info,6628,6,12,9,15,1,30,16,15
Airline C,2019-05-15,Delhi,Cochin,DEL → MAA → COK,23h 40m,1,No info,7480,15,5,9,45,9,25,23,40
Airline B,2019-05-27,Banglore,Delhi,BLR → DEL,3h,0,No info,3943,27,5,21,15,0,15,3,0
Airline A,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,13h 20m,1,No info,14781,5,6,6,30,19,50,13,20
Airline A,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,20h 35m,1,No info,13759,24,3,19,45,16,20,20,35
Airline H,2019-05-18,Banglore,Delhi,BLR → DEL,2h 55m,0,No info,4239,18,5,7,45,10,40,2,55
Airline C,2019-05-21,Chennai,Kolkata,MAA → CCU,2h 15m,0,No info,4667,21,5,11,40,13,55,2,15
Airline D,2019-01-06,Delhi,Cochin,DEL → HYD → COK,15h 25m,1,No info,9646,6,1,7,5,22,30,15,25
Airline C,2019-06-06,Delhi,Cochin,DEL → TRV → COK,25h 35m,1,No info,6587,6,6,5,15,6,50,25,35
Airline B,2019-04-24,Kolkata,Banglore,CCU → HYD → BLR,4h 25m,1,No info,3480,24,4,19,20,23,45,4,25
Airline F,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,11h 40m,1,No info,9345,21,5,7,10,18,50,11,40
Airline H,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,9h 15m,1,No info,10091,24,3,22,25,7,40,9,15
Airline D,2019-06-03,Delhi,Cochin,DEL → BOM → COK,8h,1,In-flight meal not included,15136,3,6,13,0,21,0,8,0
Airline A,2019-09-05,Delhi,Cochin,DEL → JAI → BOM → COK,9h 20m,2,In-flight meal not included,13029,5,9,9,40,19,0,9,20
Airline B,2019-05-27,Delhi,Cochin,DEL → BOM → COK,5h,1,No info,5054,27,5,16,0,21,0,5,0
Airline G,2019-05-24,Kolkata,Banglore,CCU → IXR → DEL → BLR,8h 20m,2,No info,5192,24,5,15,10,23,30,8,20
Airline B,2019-06-03,Delhi,Cochin,DEL → HYD → COK,8h,1,No info,7451,3,6,14,20,22,20,8,0
Airline F,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,16h 15m,1,No info,9345,5,12,7,10,23,25,16,15
Airline A,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,6h 40m,1,No info,12284,18,3,5,45,12,25,6,40
Airline D,2019-03-21,Delhi,Cochin,DEL → BOM → COK,12h 10m,1,No info,13568,21,3,6,40,18,50,12,10
Airline A,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,12h 30m,1,No info,14781,18,5,5,45,18,15,12,30
Airline A,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,15h 10m,1,In-flight meal not included,8586,5,9,18,55,10,5,15,10
Airline A,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,27h 35m,1,No info,12681,4,1,20,0,23,35,27,35
Airline A,2019-06-06,Delhi,Cochin,DEL → BDQ → BOM → COK,10h,2,In-flight meal not included,12142,6,6,18,25,4,25,10,0
Airline B,2019-12-05,Kolkata,Banglore,CCU → HYD → BLR,5h,1,No info,4176,5,12,4,50,9,50,5,0
Airline A,2019-12-06,Delhi,Cochin,DEL → BOM → COK,18h 25m,1,In-flight meal not included,10262,6,12,10,0,4,25,18,25
Airline A,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,27h 40m,1,In-flight meal not included,7064,4,1,18,55,22,35,27,40
Airline A,2019-04-24,Banglore,Delhi,BLR → DEL,3h 5m,0,No info,7229,24,4,18,55,22,0,3,5
Airline B,2019-04-24,Kolkata,Banglore,CCU → BLR,2h 35m,0,No info,4804,24,4,17,15,19,50,2,35
Airline B,2019-03-04,Banglore,Delhi,BLR → DEL,2h 50m,0,No info,3943,4,3,10,10,13,0,2,50
Airline F,2019-06-06,Banglore,Delhi,BLR → DEL,2h 45m,0,No info,5088,6,6,19,30,22,15,2,45
Airline B,2019-03-18,Chennai,Kolkata,MAA → CCU,2h 20m,0,No info,4332,18,3,19,35,21,55,2,20
Airline B,2019-03-03,Delhi,Cochin,DEL → HYD → MAA → COK,13h 45m,2,No info,9413,3,3,7,35,21,20,13,45
Airline A,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,26h 10m,1,In-flight meal not included,9314,5,1,17,0,19,10,26,10
Airline D,2019-05-15,Delhi,Cochin,DEL → HYD → COK,6h 25m,1,No info,9646,15,5,9,45,16,10,6,25
Airline F,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,26h 20m,1,No info,8452,21,5,20,20,22,40,26,20
Airline F,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,17h 45m,1,No info,9922,5,12,17,0,10,45,17,45
Airline C,2019-06-15,Delhi,Cochin,DEL → BOM → COK,11h 15m,1,No info,9929,15,6,8,0,19,15,11,15
Airline A,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,12h 30m,1,In-flight meal not included,13994,6,9,9,35,22,5,12,30
Airline C,2019-01-03,Banglore,New Delhi,BLR → GAU → DEL,28h 50m,1,No info,17198,3,1,13,50,18,40,28,50
Airline H,2019-03-03,Banglore,New Delhi,BLR → DEL,2h 55m,0,No info,6722,3,3,20,55,23,50,2,55
Airline B,2019-05-24,Banglore,Delhi,BLR → DEL,2h 55m,0,No info,4823,24,5,18,55,21,50,2,55
Airline G,2019-06-24,Delhi,Cochin,DEL → BLR → COK,13h 50m,1,No info,6752,24,6,16,45,6,35,13,50
Airline A,2019-06-06,Delhi,Cochin,DEL → BOM → COK,10h,1,In-flight meal not included,10262,6,6,9,0,19,0,10,0
Airline B,2019-03-24,Banglore,New Delhi,BLR → DEL,2h 50m,0,No info,5694,24,3,13,0,15,50,2,50
Airline H,2019-06-27,Delhi,Cochin,DEL → BOM → COK,5h 10m,1,No info,7870,27,6,14,25,19,35,5,10
Airline A,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,22h 10m,1,In-flight meal not included,8586,5,6,6,30,4,40,22,10
Airline D,2019-05-27,Delhi,Cochin,DEL → HYD → COK,9h 15m,1,No info,9646,27,5,13,15,22,30,9,15
Airline A,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,11h 30m,1,In-flight meal not included,13469,6,6,9,35,21,5,11,30
